Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Type,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
1,-22.6886,113.5539,20210520,13:03:00,inNP.1,Point Cloates,No-take,93.6,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
2,-22.6987,113.5214,20210520,11:47:07,inNP.2,Point Cloates,No-take,167,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
4,-22.7113,113.5415,20210520,11:01:54,inNP.4,Point Cloates,No-take,100,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
7,-22.7462,113.5314,20210520,8:33:28,inNP.7,Point Cloates,No-take,99.6,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
9,-22.6937,113.5389,20210520,12:21:40,inNP.9,Point Cloates,No-take,114,,Yes,,MBH,Water sample. Checked cameras after - all good.,RAW1,CON1,Yes,,,,,,,,
10,-22.6887,113.5238,20210520,12:02:57,inNP.10,Point Cloates,No-take,176,,Yes,,MBH,"GPS wouldn't load, so clicked while dropping. ",RAW1,CON1,Yes,,,,,,,,
12,-22.7137,113.5364,20210520,10:49:29,inNP.12,Point Cloates,No-take,107,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
13,-22.7037,113.5389,20210520,11:16:00,inNP.13,Point Cloates,No-take,107,,Yes,,MBH,"Water sample. Checked cameras after, all good.",RAW1,CON1,Yes,,,,,,,,
15,-22.7037,113.5188,20210520,11:33:03,inNP.15,Point Cloates,No-take,168,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
18,-22.6838,113.5489,20210520,13:14:58,inNP.18,Point Cloates,No-take,102,,Yes,,MBH,Water sample,RAW1,CON1,Yes,,,,,,,,
19,-22.7314,113.5313,20210520,8:09:34,inNP.19,Point Cloates,No-take,106,,Yes,,MBH,water sample,RAW1,CON1,Yes,,,,,,,,
20,-22.7187,113.5265,20210520,10:35:39,inNP.20,Point Cloates,No-take,120,,Yes,,MBH,Water sample. Checked cameras after - all good.,RAW1,CON1,Yes,,,,,,,,
21,-22.6963,113.544,20210520,12:33:40,inNP.21,Point Cloates,No-take,103,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
22,-22.7438,113.5337,20210520,8:23:06,inNP.22,Point Cloates,No-take,96.4,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
24,-22.7113,113.5088,20210520,10:14:33,inNP.24,Point Cloates,No-take,189,,Yes,,MBH,Shown 24 actual before drop,RAW1,CON1,Yes,,,,,,,,
25,-22.7262,113.4913,20210520,9:21:43,outNP.1,Point Cloates,Fished,208,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
26,-22.7388,113.5089,20210520,9:03:48,outNP.2,Point Cloates,Fished,152,,Yes,,MBH,Water sample. Checked cameras after site - all working.,RAW1,CON1,Yes,,,,,,,,
27,-22.7635,113.4964,20210519,13:00:25,outNP.3,Point Cloates,Fished,162,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
28,-22.7585,113.4762,20210519,11:26:56,outNP.4,Point Cloates,Fished,206,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
29,-22.7758,113.494,20210519,14:05:09,outNP.5,Point Cloates,Fished,152,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
30,-22.7887,113.4839,20210519,14:46:48,outNP.6,Point Cloates,Fished,169,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
31,-22.7936,113.5041,20210519,15:43:13,outNP.7,Point Cloates,Fished,116,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
32,-22.7537,113.4863,20210519,11:44:58,outNP.8,Point Cloates,Fished,194,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
33,-22.7163,113.4963,20210520,9:54:39,outNP.9,Point Cloates,Fished,207,,Yes,,MBH,"Shown 20, then 33 actual after drop. This is really 33.",RAW1,CON1,Yes,,,,,,,,
34,-22.7662,113.4889,20210519,13:14:53,outNP.10,Point Cloates,Fished,179,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
36,-22.7564,113.4711,20210519,11:08:39,outNP.12,Point Cloates,Fished,215,,Yes,,MBH,water sample,RAW1,CON1,Yes,,,,,,,,
37,-22.7836,113.4886,20210519,14:32:03,outNP.13,Point Cloates,Fished,156,,Yes,,MBH,water sample,RAW1,CON1,Yes,,,,,,,,
39,-22.7938,113.4843,20210519,15:14:50,outNP.15,Point Cloates,Fished,156,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
40,-22.7809,113.4964,20210519,14:17:36,outNP.16,Point Cloates,Fished,138,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
42,-22.7887,113.4764,20210519,15:00:24,outNP.18,Point Cloates,Fished,184,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
43,-22.7587,113.4991,20210519,12:47:43,outNP.19,Point Cloates,Fished,160,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
44,-22.7912,113.5064,20210519,15:52:58,outNP.20,Point Cloates,Fished,114,,Yes,,MBH,No CTD data,RAW1,CON1,Yes,,,,,,,,
45,-22.7512,113.4889,20210519,12:28:38,outNP.21,Point Cloates,Fished,191,,Yes,,MBH,south cameras synced seperately. Water sample,RAW1,CON1,Yes,,,,,,,,
46,-22.7463,113.5214,20210520,8:47:47,outNP.22,Point Cloates,Fished,113,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
47,-22.7637,113.4839,20210519,13:28:30,outNP.23,Point Cloates,Fished,190,,Yes,,MBH,Water sample. Forgot to show whiteboard before,RAW1,CON1,Yes,,,,,,,,
48,-22.7712,113.4688,20210519,13:44:57,outNP.24,Point Cloates,Fished,208,,Yes,,MBH,,RAW1,CON1,Yes,,,,,,,,
49,-22.7986,113.4864,20210519,15:28:04,outNP.25,Point Cloates,Fished,148,,Yes,,MBH,water sample,RAW1,CON1,Yes,,,,,,,,
50,-22.7026,113.556,20210520,12:11:48,,Point Cloates,No-take,77.6,,Yes,,Legacy,,RAW1,CON1,Yes,,,,,,,,
M1,-22.7228,113.4986,20210520,9:38:21,,Point Cloates,,197,,Yes,,MBH,"Showed 33. Arc point missing, mystery point 1",RAW1,CON1,Yes,,,,,,,,
