"sample","latitude","longitude","date","site","location","successful.count","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",1,4,6,7,5,15,38,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,0,7,3,11,26,47,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,2,2,3,4,38,49,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",2,1,3,2,6,34,48,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,0,4,0,1,46,51,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",3,1,6,6,4,31,51,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",1,3,3,1,4,36,48,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,2,5,2,3,42,54,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,1,6,13,4,15,39,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,0,2,0,47,49,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",2,4,4,10,5,20,45,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,0,6,5,6,26,43,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,1,5,1,11,30,48,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,1,4,10,3,27,45,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,1,4,12,2,27,46,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,2,0,0,0,47,49,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",1,1,9,2,3,29,45,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1,1,0,0,0,52,54,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,0,2,1,1,45,49,NA,NA
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates","Yes",0,0,1,0,0,46,47,NA,NA
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates","Yes",0,0,0,0,0,31,31,NA,NA
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates","Yes",0,0,0,0,0,46,46,NA,NA
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates","Yes",0,0,0,1,0,46,47,NA,NA
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates","Yes",0,0,0,0,0,29,29,NA,NA
"26",-22.7537,113.4763,20210519,"outNP.14","Point Cloates","Yes",0,0,0,0,0,29,29,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",-22.7654,113.5392,20220520,NA,NA,"Yes",0,0,0,0,1,15,16,0.692307692307692,0.480384461415261
"52",-22.7635,113.5348,20220520,NA,NA,"Yes",0,2,1,0,1,12,16,0.0714285714285714,0.267261241912424
"26",-22.7615,113.5484,20220520,NA,NA,"Yes",0,0,0,0,0,29,29,NA,NA
"45",-22.7602,113.5432,20220520,NA,NA,"Yes",0,1,1,5,3,21,31,1,0.645497224367903
"7",-22.7574,113.5382,20220520,NA,NA,"Yes",0,0,4,0,1,46,51,NA,NA
"55",-22.7564,113.529,20220520,NA,NA,"Yes",0,0,1,7,10,14,32,1.1304347826087,0.45769658728016
"56",-22.7534,113.5302,20220520,NA,NA,"Yes",0,0,0,0,2,16,18,0.0666666666666667,0.258198889747161
"31",-22.7542,113.5424,20220520,NA,NA,"Yes",0,0,0,1,1,18,20,0.142857142857143,0.363136519601281
"40",-22.7522,113.5444,20220520,NA,NA,"Yes",0,1,0,1,0,18,20,0.133333333333333,0.351865775274498
"60",-22.7516,113.5386,20220520,NA,NA,"Yes",0,0,0,1,1,15,17,0.3,0.483045891539648
"12",-22.7505,113.5476,20220520,NA,NA,"Yes",1,3,3,1,4,36,48,NA,NA
"44",-22.7482,113.549,20220520,NA,NA,"Yes",0,0,0,0,0,19,19,0.0666666666666667,0.258198889747161
"37",-22.7475,113.5445,20220520,NA,NA,"Yes",0,0,0,8,10,2,20,1.6,0.699205898780101
"6",-22.7459,113.5531,20220520,NA,NA,"Yes",0,0,0,2,0,47,49,NA,NA
"59",-22.7437,113.5452,20220520,NA,NA,"Yes",0,2,1,0,2,15,20,0.533333333333333,0.516397779494322
"24",-22.7426,113.5507,20220520,NA,NA,"Yes",0,0,0,1,0,19,20,0.133333333333333,0.351865775274498
"16",-22.7406,113.5395,20220520,NA,NA,"Yes",0,2,5,2,3,42,54,NA,NA
"62",-22.7375,113.542,20220520,NA,NA,"Yes",0,0,0,1,2,17,20,0.538461538461538,0.518874521662771
"23",-22.734,113.542,20220520,NA,NA,"Yes",0,0,0,0,0,46,46,NA,NA
"49",-22.7309,113.5443,20220520,NA,NA,"No",0,0,1,2,0,11,14,0.2,0.414039335605413
"36",-22.7318,113.5477,20220520,NA,NA,"Yes",0,0,0,0,0,19,19,0,0
"64",-22.7343,113.5508,20220520,NA,NA,"Yes",0,0,1,3,1,13,18,0.6,0.50709255283711
"3",-22.7379,113.5515,20220520,NA,NA,"Yes",0,0,6,5,6,26,43,NA,NA
"4",-22.7337,113.5555,20220520,NA,NA,"Yes",0,1,4,10,3,27,45,NA,NA
"43",-22.7328,113.5589,20220522,NA,NA,"Yes",0,0,0,0,0,17,17,0.1,0.316227766016838
"8",-22.7298,113.5538,20220522,NA,NA,"Yes",0,2,0,0,0,47,49,NA,NA
"11",-22.7274,113.5498,20220522,NA,NA,"Yes",1,1,9,2,3,29,45,NA,NA
"10",-22.7272,113.5424,20220522,NA,NA,"No",1,1,0,0,0,52,54,NA,NA
"27",-22.7254,113.5459,20220522,NA,NA,"Yes",0,1,4,12,2,27,46,NA,NA
"32",-22.7239,113.5552,20220522,NA,NA,"Yes",0,1,0,0,0,19,20,0,0
"20",-22.7212,113.5561,20220522,NA,NA,"Yes",0,0,1,0,0,19,20,0,0
"5",-22.7218,113.5506,20220522,NA,NA,"Yes",0,0,2,1,1,45,49,NA,NA
"1",-22.7221,113.5447,20220522,NA,NA,"Yes",0,1,5,1,11,30,48,NA,NA
"33",-22.719,113.549,20220522,NA,NA,"Yes",0,0,2,1,0,16,19,0,0
"50",-22.7173,113.5528,20220522,NA,NA,"Yes",0,0,0,0,2,18,20,0.4,0.50709255283711
"41",-22.7154,113.5479,20220522,NA,NA,"Yes",0,0,1,1,2,16,20,0.4,0.50709255283711
"18",-22.7101,113.5492,20220522,NA,NA,"Yes",0,0,0,0,0,31,31,NA,NA
"39",-22.7105,113.5539,20220522,NA,NA,"Yes",0,0,0,6,6,0,12,2.42857142857143,0.534522483824849
"22",-22.7072,113.5554,20220522,NA,NA,"Yes",0,0,7,3,11,26,47,NA,NA
"30",-22.7058,113.5588,20220522,NA,NA,"Yes",0,0,1,9,0,10,20,0.866666666666667,0.516397779494322
"58",-22.7056,113.5502,20220522,NA,NA,"Yes",0,1,0,2,0,13,16,0.4,0.516397779494322
"25",-22.7053,113.5466,20220522,NA,NA,"Yes",0,2,2,3,4,38,49,NA,NA
"17",-22.7011,113.5532,20220522,NA,NA,"Yes",1,4,6,7,5,15,38,NA,NA
"35",-22.6987,113.551,20220522,NA,NA,"Yes",0,1,0,0,0,19,20,0,0
"42",-22.6952,113.5537,20220522,NA,NA,"Yes",0,1,0,1,0,18,20,0.133333333333333,0.351865775274498
"15",-22.6977,113.5561,20220522,NA,NA,"Yes",2,1,3,2,6,34,48,NA,NA
"47",-22.6999,113.5592,20220522,NA,NA,"Yes",0,0,0,0,0,20,20,0,0
"28",-22.6987,113.5625,20220522,NA,NA,"Yes",0,0,1,5,1,13,20,0.928571428571429,0.615727926214882
"2",-22.6957,113.5628,20220522,NA,NA,"Yes",2,4,4,10,5,20,45,NA,NA
"48",-22.696,113.5596,20220522,NA,NA,"Yes",0,0,0,0,0,20,20,0,0
"9",-22.6934,113.5571,20220522,NA,NA,"Yes",0,0,1,0,0,46,47,NA,NA
"46",-22.693,113.5605,20220522,NA,NA,"Yes",0,2,2,5,2,9,20,1.27777777777778,0.669113158068688
"34",-22.6928,113.5645,20220522,NA,NA,"Yes",0,3,0,3,0,11,17,0.461538461538462,0.518874521662771
"21",-22.6893,113.5652,20220522,NA,NA,"Yes",0,1,6,13,4,15,39,NA,NA
"51",-22.69,113.5609,20220522,NA,NA,"Yes",0,0,0,7,3,10,20,1.4,0.736788397613007
"29",-22.691,113.5564,20220522,NA,NA,"Yes",0,0,0,8,3,7,18,1.69230769230769,0.85485041426511
"57",-22.6751,113.561,20220526,NA,NA,"Yes",0,0,0,11,4,1,16,1.8,0.788810637746616
"63",-22.6744,113.5666,20220526,NA,NA,"Yes",0,0,0,3,0,12,15,0.333333333333333,0.492365963917331
"61",-22.6779,113.5654,20220526,NA,NA,"Yes",0,1,0,5,0,8,14,0.8,0.632455532033676
"53",-22.6839,113.5636,20220526,NA,NA,"Yes",0,5,0,1,11,0,17,1.8,0.788810637746616
"19",-22.6847,113.5669,20220526,NA,NA,"Yes",0,0,0,0,0,29,29,NA,NA
"38",-22.6868,113.5642,20220526,NA,NA,"Yes",0,1,0,3,3,12,19,1,0.707106781186548
"13",-22.6872,113.5606,20220526,NA,NA,"Yes",3,1,6,6,4,31,51,NA,NA
"14",-22.6876,113.5568,20220526,NA,NA,"Yes",0,0,0,1,0,46,47,NA,NA
