"sample","latitude","longitude","date","site","location","successful.count","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","mean.relief","sd.relief"
"17",-22.7757,113.5195,20210518,"outNP.5","Point Cloates","Yes",2.63157894736842,10.5263157894737,15.7894736842105,18.4210526315789,13.1578947368421,39.4736842105263,NA,NA
"22",-22.7812,113.4964,20210518,"outNP.10","Point Cloates","Yes",0,0,14.8936170212766,6.38297872340426,23.4042553191489,55.3191489361702,NA,NA
"25",-22.7937,113.4939,20210518,"outNP.13","Point Cloates","Yes",0,4.08163265306122,4.08163265306122,6.12244897959184,8.16326530612245,77.5510204081633,NA,NA
"15",-22.7461,113.5138,20210518,"outNP.3","Point Cloates","Yes",4.16666666666667,2.08333333333333,6.25,4.16666666666667,12.5,70.8333333333333,NA,NA
"7",-22.7287,113.5365,20210518,"inNP.7","Point Cloates","Yes",0,0,7.84313725490196,0,1.96078431372549,90.1960784313726,NA,NA
"13",-22.7963,113.5041,20210518,"outNP.1","Point Cloates","Yes",5.88235294117647,1.96078431372549,11.7647058823529,11.7647058823529,7.84313725490196,60.7843137254902,NA,NA
"12",-22.7262,113.5214,20210518,"inNP.12","Point Cloates","Yes",2.08333333333333,6.25,6.25,2.08333333333333,8.33333333333333,75,NA,NA
"16",-22.7812,113.5115,20210518,"outNP.4","Point Cloates","Yes",0,3.7037037037037,9.25925925925926,3.7037037037037,5.55555555555556,77.7777777777778,NA,NA
"21",-22.7563,113.5189,20210518,"outNP.9","Point Cloates","Yes",0,2.56410256410256,15.3846153846154,33.3333333333333,10.2564102564103,38.4615384615385,NA,NA
"6",-22.721,113.5465,20210518,"inNP.6","Point Cloates","Yes",0,0,0,4.08163265306122,0,95.9183673469388,NA,NA
"2",-22.7108,113.5386,20210518,"inNP.2","Point Cloates","Yes",4.44444444444444,8.88888888888889,8.88888888888889,22.2222222222222,11.1111111111111,44.4444444444444,NA,NA
"3",-22.7087,113.5263,20210518,"inNP.3","Point Cloates","Yes",0,0,13.953488372093,11.6279069767442,13.953488372093,60.4651162790698,NA,NA
"1",-22.696,113.5315,20210518,"inNP.1","Point Cloates",NA,0,2.08333333333333,10.4166666666667,2.08333333333333,22.9166666666667,62.5,NA,NA
"4",-22.6937,113.5413,20210518,"inNP.4","Point Cloates","Yes",0,2.22222222222222,8.88888888888889,22.2222222222222,6.66666666666667,60,NA,NA
"27",-22.7027,113.556,20210518,NA,"Point Cloates","Yes",0,2.17391304347826,8.69565217391304,26.0869565217391,4.34782608695652,58.695652173913,NA,NA
"8",-22.6884,113.5563,20210518,"inNP.8","Point Cloates","Yes",0,4.08163265306122,0,0,0,95.9183673469388,NA,NA
"11",-22.6761,113.5387,20210518,"inNP.11","Point Cloates","Yes",2.22222222222222,2.22222222222222,20,4.44444444444444,6.66666666666667,64.4444444444444,NA,NA
"10",-22.6734,113.524,20210518,"inNP.10","Point Cloates","Yes",1.85185185185185,1.85185185185185,0,0,0,96.2962962962963,NA,NA
"5",-22.6837,113.5139,20210519,"inNP.5","Point Cloates","Yes",0,0,4.08163265306122,2.04081632653061,2.04081632653061,91.8367346938776,NA,NA
"9",-22.6962,113.5064,20210519,"inNP.9","Point Cloates","Yes",0,0,2.12765957446809,0,0,97.8723404255319,NA,NA
"18",-22.7311,113.4913,20210519,"outNP.6","Point Cloates","Yes",0,0,0,0,0,100,NA,NA
"23",-22.7362,113.4887,20210519,"outNP.11","Point Cloates","Yes",0,0,0,0,0,100,NA,NA
"14",-22.7413,113.4991,20210519,"outNP.2","Point Cloates","Yes",0,0,0,2.12765957446809,0,97.8723404255319,NA,NA
"19",-22.7437,113.484,20210519,"outNP.7","Point Cloates","Yes",0,0,0,0,0,100,NA,NA
"26",-22.7537,113.4763,20210519,"outNP.14","Point Cloates","Yes",0,0,0,0,0,100,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",-22.7654,113.5392,20220520,NA,NA,"Yes",0,0,0,0,6.25,93.75,0.692307692307692,0.480384461415261
"52",-22.7635,113.5348,20220520,NA,NA,"Yes",0,12.5,6.25,0,6.25,75,0.0714285714285714,0.267261241912424
"26",-22.7615,113.5484,20220520,NA,NA,"Yes",0,0,0,0,0,100,NA,NA
"45",-22.7602,113.5432,20220520,NA,NA,"Yes",0,3.2258064516129,3.2258064516129,16.1290322580645,9.67741935483871,67.741935483871,1,0.645497224367903
"7",-22.7574,113.5382,20220520,NA,NA,"Yes",0,0,7.84313725490196,0,1.96078431372549,90.1960784313726,NA,NA
"55",-22.7564,113.529,20220520,NA,NA,"Yes",0,0,3.125,21.875,31.25,43.75,1.1304347826087,0.45769658728016
"56",-22.7534,113.5302,20220520,NA,NA,"Yes",0,0,0,0,11.1111111111111,88.8888888888889,0.0666666666666667,0.258198889747161
"31",-22.7542,113.5424,20220520,NA,NA,"Yes",0,0,0,5,5,90,0.142857142857143,0.363136519601281
"40",-22.7522,113.5444,20220520,NA,NA,"Yes",0,5,0,5,0,90,0.133333333333333,0.351865775274498
"60",-22.7516,113.5386,20220520,NA,NA,"Yes",0,0,0,5.88235294117647,5.88235294117647,88.2352941176471,0.3,0.483045891539648
"12",-22.7505,113.5476,20220520,NA,NA,"Yes",2.08333333333333,6.25,6.25,2.08333333333333,8.33333333333333,75,NA,NA
"44",-22.7482,113.549,20220520,NA,NA,"Yes",0,0,0,0,0,100,0.0666666666666667,0.258198889747161
"37",-22.7475,113.5445,20220520,NA,NA,"Yes",0,0,0,40,50,10,1.6,0.699205898780101
"6",-22.7459,113.5531,20220520,NA,NA,"Yes",0,0,0,4.08163265306122,0,95.9183673469388,NA,NA
"59",-22.7437,113.5452,20220520,NA,NA,"Yes",0,10,5,0,10,75,0.533333333333333,0.516397779494322
"24",-22.7426,113.5507,20220520,NA,NA,"Yes",0,0,0,5,0,95,0.133333333333333,0.351865775274498
"16",-22.7406,113.5395,20220520,NA,NA,"Yes",0,3.7037037037037,9.25925925925926,3.7037037037037,5.55555555555556,77.7777777777778,NA,NA
"62",-22.7375,113.542,20220520,NA,NA,"Yes",0,0,0,5,10,85,0.538461538461538,0.518874521662771
"23",-22.734,113.542,20220520,NA,NA,"Yes",0,0,0,0,0,100,NA,NA
"49",-22.7309,113.5443,20220520,NA,NA,"No",0,0,7.14285714285714,14.2857142857143,0,78.5714285714286,0.2,0.414039335605413
"36",-22.7318,113.5477,20220520,NA,NA,"Yes",0,0,0,0,0,100,0,0
"64",-22.7343,113.5508,20220520,NA,NA,"Yes",0,0,5.55555555555556,16.6666666666667,5.55555555555556,72.2222222222222,0.6,0.50709255283711
"3",-22.7379,113.5515,20220520,NA,NA,"Yes",0,0,13.953488372093,11.6279069767442,13.953488372093,60.4651162790698,NA,NA
"4",-22.7337,113.5555,20220520,NA,NA,"Yes",0,2.22222222222222,8.88888888888889,22.2222222222222,6.66666666666667,60,NA,NA
"43",-22.7328,113.5589,20220522,NA,NA,"Yes",0,0,0,0,0,100,0.1,0.316227766016838
"8",-22.7298,113.5538,20220522,NA,NA,"Yes",0,4.08163265306122,0,0,0,95.9183673469388,NA,NA
"11",-22.7274,113.5498,20220522,NA,NA,"Yes",2.22222222222222,2.22222222222222,20,4.44444444444444,6.66666666666667,64.4444444444444,NA,NA
"10",-22.7272,113.5424,20220522,NA,NA,"No",1.85185185185185,1.85185185185185,0,0,0,96.2962962962963,NA,NA
"27",-22.7254,113.5459,20220522,NA,NA,"Yes",0,2.17391304347826,8.69565217391304,26.0869565217391,4.34782608695652,58.695652173913,NA,NA
"32",-22.7239,113.5552,20220522,NA,NA,"Yes",0,5,0,0,0,95,0,0
"20",-22.7212,113.5561,20220522,NA,NA,"Yes",0,0,5,0,0,95,0,0
"5",-22.7218,113.5506,20220522,NA,NA,"Yes",0,0,4.08163265306122,2.04081632653061,2.04081632653061,91.8367346938776,NA,NA
"1",-22.7221,113.5447,20220522,NA,NA,"Yes",0,2.08333333333333,10.4166666666667,2.08333333333333,22.9166666666667,62.5,NA,NA
"33",-22.719,113.549,20220522,NA,NA,"Yes",0,0,10.5263157894737,5.26315789473684,0,84.2105263157895,0,0
"50",-22.7173,113.5528,20220522,NA,NA,"Yes",0,0,0,0,10,90,0.4,0.50709255283711
"41",-22.7154,113.5479,20220522,NA,NA,"Yes",0,0,5,5,10,80,0.4,0.50709255283711
"18",-22.7101,113.5492,20220522,NA,NA,"Yes",0,0,0,0,0,100,NA,NA
"39",-22.7105,113.5539,20220522,NA,NA,"Yes",0,0,0,50,50,0,2.42857142857143,0.534522483824849
"22",-22.7072,113.5554,20220522,NA,NA,"Yes",0,0,14.8936170212766,6.38297872340426,23.4042553191489,55.3191489361702,NA,NA
"30",-22.7058,113.5588,20220522,NA,NA,"Yes",0,0,5,45,0,50,0.866666666666667,0.516397779494322
"58",-22.7056,113.5502,20220522,NA,NA,"Yes",0,6.25,0,12.5,0,81.25,0.4,0.516397779494322
"25",-22.7053,113.5466,20220522,NA,NA,"Yes",0,4.08163265306122,4.08163265306122,6.12244897959184,8.16326530612245,77.5510204081633,NA,NA
"17",-22.7011,113.5532,20220522,NA,NA,"Yes",2.63157894736842,10.5263157894737,15.7894736842105,18.4210526315789,13.1578947368421,39.4736842105263,NA,NA
"35",-22.6987,113.551,20220522,NA,NA,"Yes",0,5,0,0,0,95,0,0
"42",-22.6952,113.5537,20220522,NA,NA,"Yes",0,5,0,5,0,90,0.133333333333333,0.351865775274498
"15",-22.6977,113.5561,20220522,NA,NA,"Yes",4.16666666666667,2.08333333333333,6.25,4.16666666666667,12.5,70.8333333333333,NA,NA
"47",-22.6999,113.5592,20220522,NA,NA,"Yes",0,0,0,0,0,100,0,0
"28",-22.6987,113.5625,20220522,NA,NA,"Yes",0,0,5,25,5,65,0.928571428571429,0.615727926214882
"2",-22.6957,113.5628,20220522,NA,NA,"Yes",4.44444444444444,8.88888888888889,8.88888888888889,22.2222222222222,11.1111111111111,44.4444444444444,NA,NA
"48",-22.696,113.5596,20220522,NA,NA,"Yes",0,0,0,0,0,100,0,0
"9",-22.6934,113.5571,20220522,NA,NA,"Yes",0,0,2.12765957446809,0,0,97.8723404255319,NA,NA
"46",-22.693,113.5605,20220522,NA,NA,"Yes",0,10,10,25,10,45,1.27777777777778,0.669113158068688
"34",-22.6928,113.5645,20220522,NA,NA,"Yes",0,17.6470588235294,0,17.6470588235294,0,64.7058823529412,0.461538461538462,0.518874521662771
"21",-22.6893,113.5652,20220522,NA,NA,"Yes",0,2.56410256410256,15.3846153846154,33.3333333333333,10.2564102564103,38.4615384615385,NA,NA
"51",-22.69,113.5609,20220522,NA,NA,"Yes",0,0,0,35,15,50,1.4,0.736788397613007
"29",-22.691,113.5564,20220522,NA,NA,"Yes",0,0,0,44.4444444444444,16.6666666666667,38.8888888888889,1.69230769230769,0.85485041426511
"57",-22.6751,113.561,20220526,NA,NA,"Yes",0,0,0,68.75,25,6.25,1.8,0.788810637746616
"63",-22.6744,113.5666,20220526,NA,NA,"Yes",0,0,0,20,0,80,0.333333333333333,0.492365963917331
"61",-22.6779,113.5654,20220526,NA,NA,"Yes",0,7.14285714285714,0,35.7142857142857,0,57.1428571428571,0.8,0.632455532033676
"53",-22.6839,113.5636,20220526,NA,NA,"Yes",0,29.4117647058824,0,5.88235294117647,64.7058823529412,0,1.8,0.788810637746616
"19",-22.6847,113.5669,20220526,NA,NA,"Yes",0,0,0,0,0,100,NA,NA
"38",-22.6868,113.5642,20220526,NA,NA,"Yes",0,5.26315789473684,0,15.7894736842105,15.7894736842105,63.1578947368421,1,0.707106781186548
"13",-22.6872,113.5606,20220526,NA,NA,"Yes",5.88235294117647,1.96078431372549,11.7647058823529,11.7647058823529,7.84313725490196,60.7843137254902,NA,NA
"14",-22.6876,113.5568,20220526,NA,NA,"Yes",0,0,0,2.12765957446809,0,97.8723404255319,NA,NA
