"sample","latitude","longitude","date","site","location","successful.count","fov.open","detailed.invertebratecomplex.complex1.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.octocoral.black.whip.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"1",-22.6886,113.5539,20210520,"inNP.1","Point Cloates","Yes",100,1.69491525423729,0,0,0,0,0,0,1.69491525423729,0,96.6101694915254,0.292682926829268,0.512049921346757
"2",-22.6987,113.5214,20210520,"inNP.2","Point Cloates","Yes",100,0,2,0,0,0,0,0,0,0,98,0.333333333333333,0.479463301485384
"4",-22.7113,113.5415,20210520,"inNP.4","Point Cloates","Yes",100,0,3.27868852459016,0,0,0,0,1.63934426229508,1.63934426229508,0,93.4426229508197,0.414634146341463,0.546608166610121
"7",-22.7462,113.5314,20210520,"inNP.7","Point Cloates","Yes",100,10.4166666666667,0,0,0,0,0,0,0,0,89.5833333333333,0.0512820512820513,0.223455865030959
"9",-22.6937,113.5389,20210520,"inNP.9","Point Cloates","Yes",100,19.6078431372549,5.88235294117647,0,5.88235294117647,0,19.6078431372549,1.96078431372549,21.5686274509804,0,25.4901960784314,1.55,0.638507875982989
"10",-22.6887,113.5238,20210520,"inNP.10","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"12",-22.7137,113.5364,20210520,"inNP.12","Point Cloates","Yes",100,12.280701754386,1.75438596491228,0,3.50877192982456,0,8.7719298245614,1.75438596491228,17.5438596491228,0,54.3859649122807,0.975,0.35716117169158
"13",-22.7037,113.5389,20210520,"inNP.13","Point Cloates","Yes",100,1.85185185185185,12.962962962963,0,0,0,3.7037037037037,5.55555555555556,5.55555555555556,0,70.3703703703704,0.775,0.53048115556564
"15",-22.7037,113.5188,20210520,"inNP.15","Point Cloates","Yes",100,3.57142857142857,0,0,3.57142857142857,0,0,0,0,0,92.8571428571429,0.393939393939394,0.496197663448873
"18",-22.6838,113.5489,20210520,"inNP.18","Point Cloates","Yes",100,9.25925925925926,3.7037037037037,18.5185185185185,12.962962962963,0,0,7.40740740740741,3.7037037037037,0,44.4444444444444,1.30769230769231,1.02991686312016
"19",-22.7314,113.5313,20210520,"inNP.19","Point Cloates","Yes",100,8,0,0,10,2,10,0,14,0,56,0.945945945945946,0.704980139434436
"20",-22.7187,113.5265,20210520,"inNP.20","Point Cloates","Yes",100,3.7037037037037,12.962962962963,0,0,0,9.25925925925926,0,7.40740740740741,0,66.6666666666667,1,0.338061701891407
"21",-22.6963,113.544,20210520,"inNP.21","Point Cloates","Yes",100,0,7.27272727272727,1.81818181818182,3.63636363636364,0,0,0,12.7272727272727,0,74.5454545454545,0.782608695652174,0.629392775379955
"22",-22.7438,113.5337,20210520,"inNP.22","Point Cloates","Yes",100,1.72413793103448,3.44827586206897,0,0,0,0,0,0,3.44827586206897,91.3793103448276,0.184210526315789,0.392859452063192
"24",-22.7113,113.5088,20210520,"inNP.24","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0.025,0.158113883008419
"25",-22.7262,113.4913,20210520,"outNP.1","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"26",-22.7388,113.5089,20210520,"outNP.2","Point Cloates","Yes",100,2.08333333333333,0,0,2.08333333333333,0,2.08333333333333,2.08333333333333,2.08333333333333,0,89.5833333333333,0.236842105263158,0.489578446703416
"27",-22.7635,113.4964,20210519,"outNP.3","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"28",-22.7585,113.4762,20210519,"outNP.4","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"29",-22.7758,113.494,20210519,"outNP.5","Point Cloates","Yes",100,1.88679245283019,0,0,1.88679245283019,0,3.77358490566038,0,5.66037735849057,0,86.7924528301887,0.583333333333333,0.554204706893452
"30",-22.7887,113.4839,20210519,"outNP.6","Point Cloates","Yes",100,3.84615384615385,0,0,0,0,0,0,0,0,96.1538461538462,0.0571428571428571,0.235504107976803
"31",-22.7936,113.5041,20210519,"outNP.7","Point Cloates","Yes",100,6.52173913043478,8.69565217391304,0,0,0,8.69565217391304,0,15.2173913043478,0,60.8695652173913,1.25,0.493548116792825
"32",-22.7537,113.4863,20210519,"outNP.8","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"33",-22.7163,113.4963,20210520,"outNP.9","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"34",-22.7662,113.4889,20210519,"outNP.10","Point Cloates","Yes",100,4.16666666666667,4.16666666666667,0,0,0,0,0,2.08333333333333,0,89.5833333333333,0.1,0.3038218101251
"36",-22.7564,113.4711,20210519,"outNP.12","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"37",-22.7836,113.4886,20210519,"outNP.13","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0.0588235294117647,0.238832573610613
"39",-22.7938,113.4843,20210519,"outNP.15","Point Cloates","Yes",100,1.96078431372549,1.96078431372549,0,1.96078431372549,0,0,0,3.92156862745098,0,90.1960784313726,0.354838709677419,0.48637345711392
"40",-22.7809,113.4964,20210519,"outNP.16","Point Cloates","Yes",100,4,0,0,0,0,4,0,6,0,86,0.594594594594595,0.643750273331526
"42",-22.7887,113.4764,20210519,"outNP.18","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0.025,0.158113883008419
"43",-22.7587,113.4991,20210519,"outNP.19","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"44",-22.7912,113.5064,20210519,"outNP.20","Point Cloates","Yes",100,12.2448979591837,6.12244897959184,0,2.04081632653061,2.04081632653061,14.2857142857143,2.04081632653061,10.2040816326531,0,51.0204081632653,1.08571428571429,0.445330582523918
"45",-22.7512,113.4889,20210519,"outNP.21","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"46",-22.7463,113.5214,20210520,"outNP.22","Point Cloates","Yes",100,4.65116279069767,6.97674418604651,0,0,0,9.30232558139535,0,6.97674418604651,0,72.0930232558139,0.6875,0.535061045658012
"47",-22.7637,113.4839,20210519,"outNP.23","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"48",-22.7712,113.4688,20210519,"outNP.24","Point Cloates","Yes",100,0,0,0,0,0,0,0,0,0,100,0,0
"49",-22.7986,113.4864,20210519,"outNP.25","Point Cloates","Yes",100,5.26315789473684,2.63157894736842,0,0,0,2.63157894736842,0,2.63157894736842,0,86.8421052631579,0.314285714285714,0.471008215953606
"50",-22.7026,113.556,20210520,NA,"Point Cloates","Yes",100,11.5384615384615,7.69230769230769,11.5384615384615,1.92307692307692,0,19.2307692307692,7.69230769230769,11.5384615384615,0,28.8461538461538,1.88372093023256,0.956414492869353
"M1",-22.7228,113.4986,20210520,NA,"Point Cloates","Yes",100,0,3.57142857142857,0,0,0,0,0,0,0,96.4285714285714,0.0666666666666667,0.253708131702462
