"sample","date","site","location","successful.count","depth","fov.limited","fov.open","fov.total.points.annotated","kelps","broad.ascidians","broad.bryozoa","rock","broad.hydroids","broad.invertebrate.complex","macroalgae","broad.octocoral.black","broad.sponges","sand","broad.total.points.annotated","mean.relief","sd.relief","method","x","y","ID","Z","slope","aspect","TPI","TRI","roughness","detrended","lineartrend","inverts","latitude","longitude"
"npz6.34",20210511,"npz6.34","NPZ6","Y",49.1,5,75,80,0,0,0,1,0,0,8,0,41,27,77,1.73846153846154,0.44289258986107,"BOSS",113.549,-28.0563,1,-47.6597366333008,0.0540470509048706,91.2172387579838,0.114087104797363,0.229166984558105,0.787330627441406,-1.49726378917694,-46.1624717712402,41,-28.0563,113.549
"npz6.19",20210511,"npz6.19","NPZ6","Y",48.1,7,73,80,0,1,0,23,0,0,26,1,12,16,79,2.03125,0.25,"BOSS",113.5314,-28.0463,2,-45.2296028137207,0.0948283053613582,266.509235479507,-0.175805568695068,0.700391292572021,2.67759323120117,-0.665113985538483,-44.5644874572754,14,-28.0463,113.5314
"npz6.36",20210511,"npz6.36","NPZ6","Y",52.9,7,73,80,0,0,0,15,0,0,1,0,0,63,79,0.596774193548387,0.494549883752722,"BOSS",113.4739,-28.0765,3,-51.6191902160645,0.288239636576689,21.8125760801653,-0.653021812438965,1.00656032562256,4.35736846923828,-8.46964645385742,-43.149543762207,0,-28.0765,113.4739
"npz6.5",20210511,"npz6.5","NPZ6","Y",53.2,6,74,80,0,0,0,5,0,0,12,0,5,57,79,1.20289855072464,0.530807103129906,"BOSS",113.4763,-28.0839,4,-50.8207359313965,0.490154908068568,90.0179526396841,-0.698408126831055,1.63534545898438,5.38462066650391,-7.62957143783569,-43.1911659240723,5,-28.0839,113.4763
"npz6.37",20210511,"npz6.37","NPZ6","Y",39.2,7,73,80,0,0,0,22,0,0,26,0,0,20,68,1.95384615384615,0.21145103088313,"BOSS",113.4639,-28.0964,5,-38.1526947021484,1.52203624152799,59.4176297006878,-2.07680535316467,5.18087220191956,20.9134578704834,9.13645362854004,-47.2891502380371,0,-28.0964,113.4639
"npz6.14",20210511,"npz6.14","NPZ6","Y",25.5,5,75,80,0,0,0,17,0,0,58,0,0,1,76,2.92424242424242,0.364189555910151,"BOSS",113.4589,-28.0912,6,-32.8350791931152,2.25024725431325,66.8198015591208,-2.77987837791443,7.97878527641296,23.6517677307129,15.1436710357666,-47.9787521362305,0,-28.0912,113.4589
"npz6.33",20210511,"npz6.33","NPZ6","Y",28,5,75,80,0,0,0,0,0,0,79,0,0,0,79,3,0,"BOSS",113.4437,-28.0887,7,-22.9055690765381,1.69738830911985,267.924879472374,4.05605602264404,5.85930824279785,15.8341636657715,29.7943782806396,-52.6999473571777,0,-28.0887,113.4437
"npz6.29",20210511,"npz6.29","NPZ6","Y",43.1,7,73,80,0,0,0,5,0,0,7,0,0,69,81,0.923076923076923,0.268543077764787,"BOSS",113.4589,-28.0837,8,-39.3594017028809,1.38164146531386,69.207020458219,-2.86072731018066,4.68674755096436,15.7775497436523,7.70193147659302,-47.0613327026367,0,-28.0837,113.4589
"npz6.11",20210511,"npz6.11","NPZ6","Y",34,6,74,80,0,0,0,8,0,0,61,0,0,4,73,2.6865671641791,0.467389760908861,"BOSS",113.4539,-28.0761,9,-36.2672233581543,1.64064333406945,60.8166600097598,0.262740135192871,5.58430290222168,18.9919700622559,11.5005531311035,-47.7677764892578,0,-28.0761,113.4539
"npz6.13",20210511,"npz6.13","NPZ6","Y",57,6,74,80,0,0,0,77,0,0,0,0,0,3,80,1,0,"BOSS",113.4489,-28.0537,10,-52.3913726806641,1.47671054748188,42.9546224911264,-0.946710109710693,4.91206121444702,17.4776840209961,-4.29208755493164,-48.0992851257324,0,-28.0537,113.4489
"npz6.26",20210511,"npz6.26","NPZ6","Y",42,5,75,80,12,0,0,0,0,0,69,0,10,1,80,3,0,"BOSS",113.4414,-28.0487,11,-50.6478271484375,1.82385317425722,31.101047261912,-0.276867389678955,6.78882074356079,21.067455291748,-0.373749643564224,-50.2740783691406,10,-28.0487,113.4414
"npz6.20",20210511,"npz6.20","NPZ6","Y",51,6,74,80,0,0,0,61,0,0,7,0,11,0,79,2.23188405797101,1.2144343579993,"BOSS",113.4413,-28.0462,12,-57.5754737854004,1.24116061598047,32.8329458359449,-1.09644889831543,4.48446559906006,14.6909675598145,-7.32903671264648,-50.2464370727539,11,-28.0462,113.4413
"npz6.6",20210511,"npz6.6","NPZ6","Y",66.6,7,73,80,0,0,0,0,0,0,0,0,0,80,80,1,0,"BOSS",113.4213,-28.0362,13,-62.5036201477051,0.767318178481421,134.332844376255,-1.40007638931274,2.63448572158813,10.7425079345703,-5.05883646011353,-57.4447822570801,0,-28.0362,113.4213
"npz6.17",20210511,"npz6.17","NPZ6","Y",65.7,6,74,80,0,0,0,0,1,32,0,0,34,4,71,1.484375,0.534290435850456,"BOSS",113.3939,-28.0587,14,-65.7911987304688,0.792060108155409,289.461877707251,-0.3689284324646,2.80069303512573,9.68425750732422,8.57943725585938,-74.3706359863281,67,-28.0587,113.3939
"npz6.21",20210511,"npz6.21","NPZ6","Y",57.4,7,73,80,0,0,0,5,0,0,1,0,0,64,70,0.893939393939394,0.682276458263925,"BOSS",113.4014,-28.0737,15,-55.1916389465332,1.17676859292674,239.267242968714,3.14658069610596,4.10550689697266,14.5330543518066,16.8757381439209,-72.0673751831055,0,-28.0737,113.4014
"npz6.31",20210511,"npz6.31","NPZ6","Y",81.9,6,74,80,0,0,0,56,0,0,0,0,0,24,80,1,0,"BOSS",113.3938,-28.0711,16,-73.4224166870117,2.01909355605363,239.142356451609,-1.07343626022339,6.96042585372925,24.905834197998,3.24979639053345,-76.6722106933594,0,-28.0711,113.3938
"npz6.7",20210511,"npz6.7","NPZ6","Y",89.5,4,76,80,0,0,0,0,0,0,0,0,0,80,80,0.6,0.527224906178488,"BOSS",113.3812,-28.0687,17,-85.980827331543,0.986345887248642,240.52381793289,1.54701900482178,3.41292095184326,13.053092956543,-0.497556447982788,-85.483268737793,0,-28.0687,113.3812
"npz6.15",20210511,"npz6.15","NPZ6","Y",92,6,74,80,0,0,1,0,0,37,0,2,12,24,76,1.79411764705882,0.659235729573739,"BOSS",113.3788,-28.0712,18,-96.8354187011719,1.84596547270397,242.93818517574,-1.11984348297119,6.39759540557861,20.931526184082,-8.73591136932373,-88.0995101928711,52,-28.0712,113.3788
"npz6.25",20210511,"npz6.25","NPZ6","Y",70.6,7,73,80,0,0,0,0,0,50,0,0,5,16,71,1.30508474576271,0.676049306713737,"BOSS",113.3815,-28.0362,19,-73.0716857910156,2.04558523516593,254.864448358632,-0.589998722076416,7.04150819778442,20.799617767334,6.49707269668579,-79.5687561035156,55,-28.0362,113.3815
"npz6.1",20210511,"npz6.1","NPZ6","Y",90.9,5,75,80,0,0,0,0,0,27,0,0,8,40,75,1.52380952380952,0.644008186111638,"BOSS",113.3761,-28.0459,20,-89.2529907226562,0.956954102918251,256.566249551975,-0.402997016906738,3.22027111053467,10.1521911621094,-4.50719690322876,-84.7457962036133,35,-28.0459,113.3761
"npz6.9",20210511,"npz6.9","NPZ6","Y",101,0,80,80,0,0,0,0,0,3,0,1,1,74,79,0.88,0.520596204522531,"BOSS",113.3687,-28.0486,21,-102.193481445312,1.56453329322758,275.811062875902,0.925477027893066,5.33099842071533,14.7876510620117,-11.0503234863281,-91.1431579589844,5,-28.0486,113.3687
"npz6.16",20210511,"npz6.16","NPZ6","Y",123,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.3588,-28.0411,22,-124.235816955566,1.19807003780026,267.052993521753,-0.194674491882324,3.90390491485596,11.3236541748047,-26.3243942260742,-97.9114227294922,0,-28.0411,113.3588
"npz6.23",20210511,"npz6.23","NPZ6","Y",151,0,80,80,0,0,0,0,0,0,0,0,0,77,77,0.0444444444444444,0.208409077139993,"BOSS",113.3362,-28.041,23,-151.637985229492,0.455051329674227,234.052357593281,-0.291049957275391,1.52362442016602,5.73281860351562,-32.5732650756836,-119.064720153809,0,-28.041,113.3362
"npz6.12",20210511,"npz6.12","NPZ6","Y",159,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.3238,-28.0486,24,-161.585662841797,0.468033875701961,235.457528415798,0.255317687988281,1.53131866455078,5.74925231933594,-26.4499797821045,-135.135681152344,0,-28.0486,113.3238
"npz6.42",20210513,"out6.5","NPZ6","Y",48.5,5,55,60,0,0,0,54,0,0,1,0,0,5,60,1,0,"BOSS",113.5639,-28.1213,25,-34.783203125,1.58867577776159,116.127181355294,2.54116606712341,5.76193070411682,18.4525527954102,11.1929655075073,-45.9761695861816,0,-28.1213,113.5639
"npz6.50",20210513,"out6.13","NPZ6","Y",32,5,55,60,0,0,0,2,0,0,54,0,4,0,60,3,0,"BOSS",113.5564,-28.1211,26,-23.9049224853516,1.27667712200676,176.027065101903,1.8028519153595,4.85692572593689,15.2520523071289,21.3694515228271,-45.2743759155273,4,-28.1211,113.5564
"npz6.45",20210513,"out6.8","NPZ6","Y",50.8,5,55,60,0,0,0,2,0,0,0,0,0,58,60,1,0,"BOSS",113.5316,-28.106,27,-48.6587982177734,0.0741760724175357,196.520599099341,0.336643218994141,0.39146614074707,0.982173919677734,-6.22562313079834,-42.4331741333008,0,-28.106,113.5316
"npz6.46",20210513,"out6.9","NPZ6","Y",44.7,5,55,60,5,0,0,19,0,0,34,0,7,0,60,2.02222222222222,0.260147588258603,"BOSS",113.5215,-28.1138,28,-46.0657348632812,0.285867971057557,9.56843107885307,0.756668567657471,1.25116109848022,3.98198318481445,-3.37353205680847,-42.6922035217285,7,-28.1138,113.5215
"npz6.24",20210513,"npz6.24","NPZ6","Y",49.3,5,55,60,0,0,0,43,0,0,6,0,8,2,59,1.06,0.239897937482095,"BOSS",113.5114,-28.0836,29,-47.4548072814941,0.0818829713551459,307.752339944649,0.290234565734863,0.310762405395508,1.44932174682617,-6.5867133140564,-40.8680953979492,8,-28.0836,113.5114
"npz6.18",20210513,"npz6.18","NPZ6","Y",50,5,74,79,0,0,1,34,0,3,3,0,25,12,78,2,0.563436169819011,"BOSS",113.5038,-28.0837,30,-48.7936897277832,0.328057734330252,1.90717299739217,-0.505753517150879,1.2520227432251,4.71480178833008,-7.96447849273682,-40.8292121887207,29,-28.0837,113.5038
"npz6.47",20210513,"out6.10","NPZ6","Y",44,5,75,80,0,0,0,35,0,0,7,0,6,32,80,1.23333333333333,0.499717434280908,"BOSS",113.4816,-28.1185,31,-49.6111526489258,1.88542871526283,56.7150671626229,-1.6154465675354,6.38393449783325,20.836971282959,-2.37902545928955,-47.2321281433105,6,-28.1185,113.4816
"npz6.49",20210513,"out6.12","NPZ6","Y",49.6,5,75,80,0,0,0,8,0,0,52,0,2,16,78,2.10169491525424,0.304841126187198,"BOSS",113.4764,-28.1139,32,-46.6633834838867,1.78724740759465,65.7182549564415,-1.82974076271057,5.82782769203186,20.5746326446533,0.606197834014893,-47.2695808410645,2,-28.1139,113.4764
"npz6.38",20210513,"out6.1","NPZ6","Y",27.8,5,75,80,0,0,0,3,0,0,76,0,0,1,80,3,0,"BOSS",113.4591,-28.1187,33,-21.6517601013184,1.09179572062588,224.374678256625,1.55781817436218,4.04233288764954,14.9958477020264,31.78102684021,-53.432788848877,0,-28.1187,113.4591
"npz6.39",20210513,"out6.2","NPZ6","Y",36.3,5,75,80,1,0,0,1,0,0,58,0,1,5,65,2.96774193548387,0.178127043949975,"BOSS",113.4539,-28.1139,34,-29.7562980651855,2.27073370474754,240.247611306367,-2.07015204429626,7.82559275627136,26.8991641998291,24.2080078125,-53.9643058776855,1,-28.1139,113.4539
"npz6.40",20210513,"out6.3","NPZ6","Y",48.7,5,75,80,5,0,0,30,0,0,44,0,4,1,79,2.01612903225806,0.127000127000191,"BOSS",113.4337,-28.1038,35,-46.1746444702148,0.472248153931574,64.9151309980983,0.279421329498291,1.67104768753052,5.15583801269531,13.936806678772,-60.1114501953125,4,-28.1038,113.4337
"npz6.28",20210513,"npz6.28","NPZ6","Y",47.3,5,75,80,0,0,0,68,0,0,10,0,0,1,79,1.11666666666667,0.323731771513093,"BOSS",113.429,-28.0937,36,-43.8195304870605,0.490016653962458,88.982874871197,-0.62653112411499,1.69587087631226,5.83591461181641,16.464916229248,-60.2844467163086,0,-28.0937,113.429
"npz6.43",20210513,"out6.6","NPZ6","Y",56.2,7,73,80,0,0,0,55,0,0,4,0,3,19,81,1.71621621621622,0.80273966284766,"BOSS",113.4111,-28.1064,37,-56.5334205627441,1.52155227699021,253.558947381387,1.7506275177002,5.20027160644531,17.9871978759766,17.1675567626953,-73.7009811401367,3,-28.1064,113.4111
"npz6.8",20210513,"npz6.8","NPZ6","Y",73.6,5,75,80,0,0,0,0,0,49,1,0,3,27,80,1.63380281690141,1.05883273493191,"BOSS",113.4012,-28.0888,38,-62.6993675231934,2.29861255808978,261.940142864873,3.47658061981201,7.90745830535889,22.0059967041016,12.7765827178955,-75.4759521484375,52,-28.0888,113.4012
"npz6.30",20210513,"npz6.30","NPZ6","Y",87.9,5,75,80,0,0,0,51,0,1,0,0,0,27,79,1,0,"BOSS",113.3989,-28.0912,39,-78.1960601806641,2.28904563652477,254.888162251681,-0.337979793548584,7.75569295883179,24.5689888000488,-0.289400577545166,-77.9066619873047,1,-28.0912,113.3989
"npz6.2",20210513,"npz6.2","NPZ6","Y",92,5,75,80,0,0,1,0,2,19,0,7,44,4,77,2.88709677419355,1.1323099661019,"BOSS",113.3863,-28.0862,40,-91.6866226196289,1.1467275593627,220.956105898616,1.22694873809814,3.79261302947998,14.6686325073242,-5.67743015289307,-86.0091934204102,73,-28.0862,113.3863
"npz6.3",20210513,"npz6.3","NPZ6","Y",95.2,5,75,80,0,0,0,0,0,11,0,0,40,4,55,2.49019607843137,0.784156847055685,"BOSS",113.3864,-28.0914,41,-99.8103866577148,1.55805189655989,251.320989110434,-0.410014152526855,5.35100269317627,17.163818359375,-12.3357639312744,-87.4746246337891,51,-28.0914,113.3864
"npz6.32",20210513,"npz6.32","NPZ6","Y",116,5,75,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.3837,-28.0963,42,-111.587554931641,1.28244053075093,240.765714810077,-0.702932357788086,4.2629508972168,15.9317779541016,-20.4683284759521,-91.1192245483398,0,-28.0963,113.3837
"npz6.10",20210513,"npz6.10","NPZ6","Y",151,4,76,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.3498,-28.0798,43,-153.234664916992,0.608486200644988,286.611104973588,-0.498750686645508,2.08444023132324,6.50485229492188,-34.6470718383789,-118.587593078613,0,-28.0798,113.3498
"npz6.35",20210513,"npz6.35","NPZ6","Y",184,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.2744,-28.0417,44,-183.333358764648,0.24203253134647,258.220412500081,0.129159927368164,0.773332595825195,2.53326416015625,11.7545528411865,-195.087905883789,0,-28.0417,113.2744
"npz6.27",20210513,"npz6.27","NPZ6","Y",186,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.2892,-28.0688,45,-184.729293823242,0.231582924351389,246.165610604267,0.126876831054688,0.825916290283203,2.97052001953125,4.3669810295105,-189.096267700195,0,-28.0688,113.2892
"npz6.4",20210513,"npz6.4","NPZ6","Y",189,0,80,80,0,0,0,0,0,0,0,0,0,80,80,0,0,"BOSS",113.2764,-28.0769,46,-191.022888183594,0.141834608593055,26.6163676411471,-0.99610710144043,1.04849052429199,2.18754577636719,20.3654479980469,-211.388336181641,0,-28.0769,113.2764
"npz6.24",20210512,"npz6.27","NPZ6","Y",53.7,13,27,40,0,0,0,1,0,0,18,0,7,0,26,3,0,"BRUV",113.4414,-28.0787,47,-31.8454093933105,1.41447294161085,269.740769011435,-0.419573545455933,4.925861120224,14.6499557495117,20.4071350097656,-52.2525444030762,7,-28.0787,113.4414
"npz6.14",20210512,"npz6.14","NPZ6","Y",42.1,12,28,40,5,0,0,0,0,0,20,0,3,0,23,2.84615384615385,0.36794648440312,"BRUV",113.4213,-28.0937,48,-40.6309432983398,0.632017252148945,279.467423105007,1.37374114990234,2.23801040649414,7.24131774902344,23.6127586364746,-64.2436981201172,3,-28.0937,113.4213
"npz6.6",20210512,"npz6.6","NPZ6","Y",55.1,4,16,20,0,0,0,0,0,0,12,0,0,0,12,3,0,"BRUV",113.4439,-28.0837,49,-24.3813705444336,1.36610197456083,267.79744316101,2.4797260761261,4.33511519432068,14.1843185424805,27.5764045715332,-51.9577751159668,0,-28.0837,113.4439
"npz6.2",20210512,"npz6.2","NPZ6","Y",43.6,12,28,40,1,0,0,16,0,0,9,0,3,0,28,1.45833333333333,0.508977377704051,"BRUV",113.4339,-28.0612,50,-40.2421722412109,1.09885858191754,265.361487590252,0.0329046249389648,3.70206069946289,9.98409652709961,13.2275161743164,-53.4696884155273,3,-28.0612,113.4339
"npz6.18",20210512,"npz6.19","NPZ6","Y",42.7,6,34,40,0,0,0,0,0,0,0,0,0,34,34,1,0,"BRUV",113.4438,-28.0962,51,-30.1450653076172,2.15511259200079,242.854652254418,2.29924964904785,7.45680522918701,22.9617767333984,23.8670024871826,-54.0120697021484,0,-28.0962,113.4438
"npz6.22",20210512,"npz6.23","NPZ6","Y",45,13,27,40,4,0,0,1,0,1,28,0,4,2,36,2.85714285714286,0.356348322549899,"BRUV",113.4512,-28.0687,52,-45.7956008911133,1.53578021082583,54.9841584873485,-2.76806592941284,5.73828077316284,18.243480682373,2.15277624130249,-47.9483757019043,5,-28.0687,113.4512
"npz6.20",20210512,"npz6.21","NPZ6","Y",50.4,13,27,40,0,0,0,12,0,1,7,0,1,3,24,1.15,0.366347548532523,"BRUV",113.4593,-28.0736,53,-46.4441719055176,0.7162471755693,37.565458103643,1.2263355255127,2.58530521392822,8.85815811157227,-0.249964714050293,-46.194206237793,2,-28.0736,113.4593
"npz6.26",20210512,"npz6.29","NPZ6","Y",33.7,13,27,40,0,0,0,11,0,0,27,0,0,0,38,2.08,0.276887462097269,"BRUV",113.4563,-28.0937,54,-16.5420684814453,1.45990601916117,54.4810522048507,3.40081715583801,5.10556435585022,19.3519582748413,32.5598258972168,-49.1018943786621,0,-28.0937,113.4563
"npz6.27",20210512,"npz6.30","NPZ6","Y",39,12,28,40,9,0,0,1,0,0,30,0,0,1,32,3,0,"BRUV",113.4464,-28.0562,55,-40.7483825683594,1.56374171924552,45.6908951932308,0.642093658447266,5.24827671051025,18.8813781738281,8.13420295715332,-48.8825836181641,0,-28.0562,113.4464
"npz6.8",20210512,"npz6.8","NPZ6","Y",154,10,30,40,0,0,0,0,1,1,0,0,0,26,28,0,0,"BRUV",113.3413,-28.0688,56,-154.187545776367,0.411221675632383,253.057280446,0.355731964111328,1.41686248779297,4.64349365234375,-31.1079425811768,-123.079605102539,2,-28.0688,113.3413
"npz6.15",20210512,"npz6.15","NPZ6","Y",145,11,29,40,0,0,0,0,1,0,0,0,0,26,27,0,0,"BRUV",113.3488,-28.0588,57,-148.092926025391,0.932579110127792,251.999030326723,-0.203357696533203,3.15874862670898,10.0662994384766,-36.1552848815918,-111.937637329102,1,-28.0588,113.3488
"npz6.9",20210512,"npz6.9","NPZ6","Y",77.2,10,30,40,0,0,0,0,0,25,0,0,1,4,30,1,0,"BRUV",113.3814,-28.0386,58,-74.6474533081055,1.86823952422369,262.964959861152,-0.171411514282227,6.2463207244873,17.7657012939453,5.26668882369995,-79.9141387939453,26,-28.0386,113.3814
"npz6.13",20210512,"npz6.13","NPZ6","Y",109,12,28,40,0,0,1,0,0,11,0,1,2,7,22,2.14285714285714,0.853563956930837,"BRUV",113.3714,-28.0611,59,-105.281463623047,1.82381709548526,260.422489928175,-0.00580501556396484,6.1287145614624,17.7532119750977,-13.3982563018799,-91.8832092285156,15,-28.0611,113.3714
"npz6.10",20210512,"npz6.10","NPZ6","Y",112,17,23,40,0,0,0,0,0,0,0,0,0,28,28,0,0,"BRUV",113.3764,-28.0787,60,-110.976715087891,1.43792029864557,256.831671043489,-0.502714157104492,4.90752601623535,14.8594131469727,-18.7898006439209,-92.1869125366211,0,-28.0787,113.3764
"npz6.17",20210512,"npz6.18","NPZ6","Y",94,4,15,19,0,0,1,0,0,9,0,1,5,0,16,2.57142857142857,0.646206172658864,"BRUV",113.3839,-28.0837,61,-90.9784164428711,1.51752495559048,246.103083831702,3.09400749206543,5.3710994720459,16.8533782958984,-3.65496897697449,-87.3234481811523,16,-28.0837,113.3839
"npz6.4",20210512,"npz6.4","NPZ6","Y",67.5,12,28,40,0,0,1,0,0,25,0,0,4,1,31,1,0,"BRUV",113.3988,-28.0814,62,-70.7265472412109,2.03028171432425,261.688558444131,0.617746353149414,6.84772300720215,20.7614936828613,4.63958311080933,-75.3661270141602,30,-28.0814,113.3988
"npz6.21",20210512,"npz6.22","NPZ6","Y",59.3,6,34,40,0,0,2,0,0,13,0,4,13,2,34,2.15384615384615,0.36794648440312,"BRUV",113.3992,-28.0714,63,-58.5490608215332,1.47423968059935,237.800010473743,0.640207767486572,5.00033044815063,17.0052871704102,14.6871166229248,-73.2361755371094,32,-28.0714,113.3992
"npz6.5",20210512,"npz6.5","NPZ6","Y",65.8,12,28,40,0,0,0,5,3,3,2,3,8,5,29,2,0.866025403784439,"BRUV",113.3935,-28.0636,64,-63.1807403564453,1.53885212770887,261.168293621937,1.70639324188232,5.23153400421143,17.3997344970703,12.0439014434814,-75.2246398925781,17,-28.0636,113.3935
"npz6.12",20210512,"npz6.12","NPZ6","N",185,16,24,40,0,0,0,0,0,0,0,0,0,28,28,0,0,"BRUV",113.2763,-28.0512,65,-185.840286254883,0.472855069481323,199.77426278105,-0.128358840942383,1.79825782775879,5.76031494140625,11.4979190826416,-197.33821105957,0,-28.0512,113.2763
"npz6.C01",20210512,NA,"NPZ6","Y",138,12,28,40,0,0,0,0,0,0,0,0,0,23,23,0,0,"BRUV",113.3706,-28.1078,66,-136.525009155273,0.761008854849921,255.551094636884,-0.556257247924805,2.57534980773926,8.24528503417969,-29.577054977417,-106.947952270508,0,-28.1078,113.3706
"npz6.28",20210512,"out6.1","NPZ6","Y",149,9,31,40,0,0,0,0,0,1,0,0,0,27,28,0.166666666666667,0.514495755427527,"BRUV",113.3663,-28.1237,67,-149.110305786133,0.373563861906889,251.433780577935,-0.590368270874023,1.3106746673584,4.21206665039062,-30.7406787872314,-118.36962890625,1,-28.1237,113.3663
"npz6.C02",20210512,NA,"NPZ6","Y",125,13,27,40,0,0,0,0,0,2,0,0,0,30,32,0,0,"BRUV",113.385,-28.118,68,-125.085388183594,0.790348184361408,248.435037380826,0.407463073730469,2.69984436035156,8.9332275390625,-25.5902423858643,-99.4951477050781,2,-28.118,113.385
"npz6.BOSS41",20210512,NA,"NPZ6","Y",104,10,30,40,0,0,5,0,0,8,0,0,14,8,35,2.27272727272727,0.702500173314209,"BRUV",113.3939,-28.1137,69,-106.504402160645,1.57456583491604,249.188051436011,-1.22533798217773,5.38869667053223,17.8021926879883,-17.441312789917,-89.0630874633789,27,-28.1137,113.3939
"npz6.36",20210512,"out6.9","NPZ6","Y",66.5,16,24,40,0,2,1,3,1,0,1,0,7,14,29,1.57692307692308,1.17211183504227,"BRUV",113.4089,-28.1062,70,-65.1319198608398,2.58028454832562,252.61657519302,1.47148847579956,9.07180452346802,25.7368621826172,10.2354784011841,-75.3674011230469,11,-28.1062,113.4089
